engagement_score,days_since_login,sessions_last_30d,support_tickets_last_90d,churned
0.47506,23,10,4,1
0.867717,12,30,0,0
0.824796,19,19,1,0
0.836896,1,26,1,0
0.260081,5,11,2,1
0.657201,2,10,1,0
0.170879,3,5,1,1
0.28356,7,5,1,1
0.82573,2,27,0,0
0.271203,3,9,0,0
0.231934,6,5,1,0
0.7599,6,18,0,0
0.43387,2,13,2,1
0.285941,5,9,3,0
0.351554,7,9,1,1
0.798942,14,11,3,1
0.126362,11,4,1,1
0.84372,18,18,0,0
0.821014,20,33,0,0
0.458566,2,15,1,1
0.317547,1,8,1,1
0.21994,38,5,0,1
0.930293,14,24,2,0
0.263504,51,10,1,1
0.201924,19,4,1,1
0.547221,1,23,1,1
0.897904,6,26,0,0
0.833099,5,16,2,1
0.255774,22,7,0,1
0.422735,2,17,3,1
0.114152,3,3,1,1
0.218737,11,9,1,1
0.577954,1,10,1,0
0.54709,1,18,1,0
0.090237,33,3,5,1
0.545406,26,10,2,1
0.260829,26,11,2,1
0.234387,17,6,0,1
0.4937,4,19,0,0
0.415472,4,12,1,0
0.902726,11,24,1,0
0.495372,35,12,0,0
0.270094,0,11,3,1
0.724148,38,12,0,1
0.475721,2,16,0,1
0.67273,15,11,1,0
0.36976,3,11,2,1
0.661992,4,24,1,0
0.120275,14,3,2,1
0.62857,2,20,1,0
0.405157,27,12,2,1
0.193289,2,7,2,1
0.519899,1,17,0,0
0.154733,43,6,1,1
0.422946,18,10,0,1
0.604408,4,18,3,0
0.755342,5,18,0,0
0.633285,9,19,1,0
0.313174,19,10,2,1
0.424159,5,19,2,0
0.119029,14,3,1,1
0.437573,3,14,1,1
0.495187,0,14,2,0
0.826745,12,23,1,0
0.479377,1,15,3,1
0.283899,0,15,2,0
0.599661,20,22,2,1
0.414477,25,8,4,1
0.668426,5,22,0,0
0.430668,9,12,0,1
0.510364,4,14,3,1
0.413891,6,15,1,0
0.500721,3,14,1,0
0.452595,3,15,3,1
0.636082,4,28,3,0
0.153177,24,10,2,0
0.45058,34,12,2,0
0.491672,16,13,0,0
0.885863,8,24,0,0
0.722787,5,15,0,0
0.401547,4,15,3,0
0.874912,6,25,0,0
0.54421,1,13,2,0
0.704657,31,20,0,0
0.743408,9,16,0,0
0.892746,13,24,0,0
0.541489,0,16,3,1
0.835869,1,23,1,1
0.298941,17,16,4,1
0.773524,0,19,1,0
0.608813,7,15,1,0
0.5728,2,21,0,0
0.3831,4,14,0,0
0.843818,8,27,0,0
0.629036,2,16,1,0
0.577642,3,23,3,1
0.487651,10,13,2,0
0.077316,2,5,2,1
0.771605,9,32,0,0
0.24599,24,5,3,1
0.804733,17,16,0,0
0.760432,6,16,0,0
0.599089,2,19,0,0
0.223831,2,10,0,0
0.192743,2,10,3,0
0.552745,0,17,0,1
0.542323,13,20,1,0
0.127483,9,3,1,1
0.506641,22,19,3,0
0.156345,2,4,1,1
0.337198,35,14,4,1
0.558072,5,12,2,0
0.140505,2,3,1,1
0.257033,0,9,1,1
0.398208,2,7,0,0
0.596978,17,18,0,1
0.469743,2,15,1,1
0.21791,16,7,0,0
0.493523,1,10,1,0
0.587668,5,16,3,0
0.291817,12,7,1,1
0.507111,17,15,1,1
0.905726,6,23,0,0
0.244842,1,4,1,1
0.69696,12,20,0,1
0.939558,0,15,0,0
0.279841,2,21,1,0
0.264827,30,13,0,1
0.756914,9,27,0,0
0.292669,14,6,3,1
0.255049,9,10,3,1
0.32634,14,5,0,1
0.808723,1,13,1,0
0.241945,10,14,1,1
0.152899,6,8,1,1
0.42773,4,9,2,0
0.854624,7,24,0,0
0.594281,3,19,0,1
0.540546,9,14,2,1
0.88585,3,21,0,0
0.364687,56,13,4,1
0.620905,2,18,1,0
0.269965,1,10,2,0
0.551298,21,16,2,0
0.784086,24,19,0,0
0.504979,11,16,7,1
0.542758,0,17,3,1
0.290498,0,10,4,1
0.250996,1,10,1,0
0.249907,26,6,2,1
0.870825,22,26,1,0
0.378818,2,19,4,1
0.415662,2,13,2,1
0.682699,2,21,0,0
0.377261,22,10,3,1
0.383801,11,7,0,1
0.431135,10,15,2,1
0.511417,0,27,0,0
0.663242,5,26,0,0
0.263018,8,9,1,1
0.908228,2,28,0,0
0.592103,0,15,1,1
0.355061,12,11,1,0
0.884212,6,24,1,0
0.760273,3,27,0,1
0.811188,12,21,0,0
0.973476,9,27,1,0
0.752343,10,23,0,0
0.566753,6,14,0,0
0.708099,38,15,0,0
0.781298,2,22,2,0
0.098044,9,5,3,1
0.108124,27,5,1,1
0.235525,18,4,4,1
0.669451,6,25,1,1
0.381149,10,9,2,1
0.13684,23,7,0,1
0.367494,7,10,3,0
0.536252,1,10,6,1
0.681783,2,16,1,1
0.301421,10,6,2,1
0.580354,0,17,0,0
0.554969,10,9,5,1
0.899141,1,14,0,0
0.533848,4,15,0,1
0.749816,8,13,1,0
0.742669,1,22,2,0
0.14445,10,3,2,1
0.301615,67,7,2,1
0.770817,1,14,1,0
0.536234,9,13,0,1
0.507081,11,17,1,0
0.27075,14,7,1,1
0.830759,20,19,2,1
0.660302,11,26,2,0
0.251026,41,7,1,1
0.190764,9,12,2,0
0.794276,5,20,1,0
0.170707,49,8,1,1
0.621393,8,14,2,0
0.675026,3,17,0,0
0.816079,10,33,0,0
0.66685,9,19,1,1
0.460265,14,12,2,1
0.708098,7,14,2,0
0.575779,17,11,1,0
0.629633,4,15,1,0
0.709691,2,27,2,1
0.075105,4,3,6,1
0.540441,12,17,2,1
0.6479,9,13,1,1
0.53817,30,14,1,1
0.508694,8,17,1,1
0.508696,3,15,0,0
0.315804,51,8,4,1
0.597962,24,15,2,0
0.426463,19,14,1,1
0.088342,33,6,2,1
0.735912,4,23,2,0
0.705201,2,27,1,0
0.553074,4,14,0,1
0.445389,24,16,1,1
0.599255,14,20,0,0
0.526658,1,16,1,1
0.27111,15,15,2,1
0.419748,4,13,1,1
0.25425,42,9,1,1
0.444826,17,12,1,0
0.373705,13,9,1,0
0.846159,5,22,0,0
0.458756,2,14,3,1
0.131239,17,4,0,0
0.593258,7,14,1,0
0.736055,14,19,3,0
0.736719,3,17,1,0
0.324808,13,9,2,1
0.53797,1,13,2,1
0.149683,3,11,2,1
0.09329,3,1,1,1
0.613165,4,17,1,0
0.434769,22,15,3,1
0.902754,4,30,0,1
0.33373,9,10,2,0
0.506483,1,20,2,0
0.573359,6,10,0,0
0.329357,8,13,2,1
0.51693,4,16,0,0
0.370866,12,14,2,0
0.746417,5,12,1,0
0.511978,2,11,2,0
0.307971,11,9,3,1
0.383259,8,7,2,1
0.287364,5,9,3,1
0.292099,0,12,1,0
0.48946,6,12,3,1
0.456887,26,10,1,1
0.296605,22,8,4,1
0.700089,7,24,0,0
0.523207,2,15,1,0
0.416445,16,12,2,0
0.419927,19,17,2,1
0.32187,1,14,2,1
0.782583,19,24,0,0
0.912386,16,23,1,1
0.731887,2,22,1,0
0.926045,3,15,0,0
0.453768,1,14,1,0
0.696755,13,18,0,0
0.072266,11,7,3,1
0.626095,11,12,5,1
0.513223,11,13,2,1
0.115763,19,5,3,1
0.441376,7,12,3,1
0.901153,2,25,0,0
0.288389,7,7,3,1
0.758547,1,30,1,0
0.283944,51,4,1,1
0.790617,4,22,3,1
0.570517,3,11,0,0
0.330895,5,11,3,0
0.868475,3,24,1,0
0.261204,9,7,2,1
0.51567,7,15,2,0
0.708467,3,16,0,0
0.154978,10,6,2,1
0.092218,58,3,1,1
0.558823,1,11,3,1
0.46342,2,11,1,1
0.334269,42,10,1,1
0.417038,19,18,0,0
0.105993,47,5,1,1
0.263381,15,9,2,1
0.320241,25,8,3,1
0.495162,1,15,2,1
0.444013,21,12,1,0
0.559155,8,11,1,0
0.642602,19,13,2,0
0.813787,6,26,0,0
0.228227,0,1,1,1
0.574191,4,16,2,0
0.744695,2,16,1,0
0.88675,8,20,0,0
0.155836,15,3,1,1
0.40977,4,11,1,1
0.656402,5,19,0,0
0.692176,2,16,3,0
0.941761,1,22,1,0
0.702806,1,17,1,0
0.512254,7,21,1,1
0.744839,2,20,2,0
0.124307,8,2,2,1
0.787182,6,24,1,0
0.697426,7,20,0,0
0.234884,3,6,0,0
0.487168,4,25,0,0
0.893955,0,18,2,0
0.48454,5,11,0,1
0.452666,15,15,3,1
0.700516,0,16,0,1
0.45631,19,24,2,1
0.407488,25,14,1,0
0.927963,5,21,0,0
0.254137,23,8,4,1
0.743687,5,17,0,0
0.59071,3,16,2,1
0.34903,1,12,2,1
0.412511,1,8,1,0
0.60431,16,16,1,1
0.691811,22,23,0,1
0.633201,7,19,1,0
0.451966,23,18,0,0
0.433633,11,8,4,1
0.605613,15,16,1,0
0.155362,13,7,4,1
0.593457,8,20,4,1
0.193377,6,7,5,1
0.319739,11,5,4,1
0.855423,2,21,0,0
0.335432,1,13,2,0
0.467837,8,7,1,0
